[0.13501016 0.12577773 0.12031404]
[0.20577961 0.14728955 0.09800458]
         3511931 function calls (3446126 primitive calls) in 8.431 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1230    0.005    0.000    0.030    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
      463    0.016    0.000    0.029    0.000 doccer.py:225(indentcount_lines)
        1    0.000    0.000    0.029    0.029 _parser.py:1(<module>)
     1624    0.028    0.000    0.028    0.000 {method 'read' of '_io.BufferedReader' objects}
        2    0.000    0.000    0.028    0.014 axes3d.py:597(auto_scale_xyz)
     26/4    0.001    0.000    0.028    0.007 __init__.py:2653(destroy)
        2    0.000    0.000    0.028    0.014 axes3d.py:1346(clear)
        1    0.000    0.000    0.028    0.028 multiarray.py:1(<module>)
        2    0.000    0.000    0.027    0.014 axes3d.py:221(_init_axis)
        6    0.000    0.000    0.027    0.005 axis3d.py:61(__init__)
    56225    0.018    0.000    0.027    0.000 _docscrape.py:80(is_empty)
     5737    0.003    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        2    0.000    0.000    0.026    0.013 _base.py:1445(clear)
        2    0.000    0.000    0.026    0.013 _base.py:1313(__clear)
        1    0.000    0.000    0.026    0.026 _rotation.py:63(Rotation)
      131    0.001    0.000    0.026    0.000 _distn_infrastructure.py:738(_attach_argparser_methods)
      491    0.025    0.000    0.025    0.000 {built-in method builtins.dir}
        1    0.001    0.001    0.025    0.025 c_parser_wrapper.py:336(_concatenate_chunks)
        1    0.000    0.000    0.025    0.025 _resampling.py:1(<module>)
     2904    0.005    0.000    0.025    0.000 <frozen importlib._bootstrap>:162(__enter__)
     2900    0.002    0.000    0.025    0.000 <frozen importlib._bootstrap>:632(cached)
        1    0.000    0.000    0.025    0.025 cm.py:1(<module>)
     5652    0.014    0.000    0.025    0.000 _docscrape.py:475(_str_param_list)
      110    0.001    0.000    0.025    0.000 _distn_infrastructure.py:1934(_attach_methods)
       34    0.023    0.001    0.025    0.001 concat.py:52(concat_compat)
        2    0.001    0.000    0.024    0.012 _base.py:2349(add_collection)
        2    0.000    0.000    0.024    0.012 array.py:1(<module>)
       88    0.003    0.000    0.024    0.000 enum.py:528(__new__)
        1    0.000    0.000    0.024    0.024 _fitpack_py.py:1(<module>)
     5768    0.024    0.000    0.024    0.000 {built-in method posix.stat}
       10    0.000    0.000    0.024    0.002 __init__.py:2707(__init__)
        1    0.000    0.000    0.024    0.024 _olivetti_faces.py:1(<module>)
        2    0.000    0.000    0.024    0.012 __init__.py:12(__getattr__)
    15375    0.014    0.000    0.024    0.000 _docscrape.py:86(is_unindented)
        1    0.000    0.000    0.024    0.024 geo.py:1(<module>)
        2    0.000    0.000    0.024    0.012 _add_newdocs.py:1(<module>)
        2    0.000    0.000    0.023    0.012 collections.py:242(get_datalim)
     2911    0.015    0.000    0.023    0.000 inspect.py:2998(__init__)
     1551    0.003    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
    10570    0.014    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        2    0.000    0.000    0.023    0.011 _data.py:452(fit)
        2    0.000    0.000    0.023    0.011 core.py:198(read_style_directory)
        6    0.000    0.000    0.023    0.004 utils.py:1(<module>)
        2    0.000    0.000    0.023    0.011 frame.py:2020(to_numpy)
        2    0.000    0.000    0.023    0.011 managers.py:1801(as_array)
        2    0.022    0.011    0.023    0.011 managers.py:1877(_interleave)
    10282    0.022    0.000    0.022    0.000 {method 'search' of 're.Pattern' objects}
      150    0.001    0.000    0.022    0.000 dataclasses.py:449(_create_fn)
       72    0.002    0.000    0.022    0.000 _backend_tk.py:324(motion_notify_event)
       42    0.000    0.000    0.022    0.001 dataclasses.py:1240(dataclass)
        1    0.000    0.000    0.022    0.022 _discrete_distns.py:1(<module>)
        2    0.000    0.000    0.022    0.011 _data.py:473(partial_fit)
        1    0.000    0.000    0.022    0.022 _wilcoxon.py:1(<module>)
      131    0.002    0.000    0.022    0.000 _distn_infrastructure.py:752(_construct_argparser)
        1    0.000    0.000    0.022    0.022 offsetbox.py:1(<module>)
    25786    0.014    0.000    0.022    0.000 _docscrape.py:91(peek)
       51    0.000    0.000    0.021    0.000 fromnumeric.py:66(_wrapreduction)
       12    0.000    0.000    0.021    0.002 axis.py:845(clear)
      358    0.001    0.000    0.021    0.000 function_base.py:490(add_newdoc)
        2    0.000    0.000    0.021    0.011 indexing.py:1(<module>)
    18246    0.021    0.000    0.021    0.000 {method 'expandtabs' of 'str' objects}
        6    0.000    0.000    0.021    0.004 validation.py:103(_assert_all_finite)
   104357    0.021    0.000    0.021    0.000 {method 'append' of 'list' objects}
       12    0.000    0.000    0.021    0.002 axis.py:534(__get__)
       12    0.000    0.000    0.021    0.002 axis.py:1585(_get_tick)
        1    0.000    0.000    0.021    0.021 _hypotests.py:1(<module>)
       14    0.001    0.000    0.021    0.002 _backend_tk.py:776(_set_image_for_button)
       12    0.000    0.000    0.021    0.002 axis.py:367(__init__)
        6    0.000    0.000    0.021    0.004 axis.py:2374(__init__)
       17    0.000    0.000    0.021    0.001 fromnumeric.py:2304(sum)
     1349    0.021    0.000    0.021    0.000 {built-in method _io.open_code}
        2    0.020    0.010    0.021    0.010 _base.py:151(_transform)
      726    0.001    0.000    0.021    0.000 colors.py:278(to_rgba)
      380    0.007    0.000    0.020    0.000 _docscrape.py:290(_parse_see_also)
       21    0.000    0.000    0.020    0.001 _distn_infrastructure.py:3330(__init__)
      426    0.001    0.000    0.020    0.000 rcsetup.py:332(validate_color)
        7    0.000    0.000    0.020    0.003 _typing.py:1(<module>)
      567    0.001    0.000    0.020    0.000 colors.py:224(is_color_like)
    77749    0.020    0.000    0.020    0.000 _docscrape.py:43(__getitem__)
        9    0.000    0.000    0.020    0.002 common.py:1(<module>)
        1    0.000    0.000    0.020    0.020 axis.py:1(<module>)
      456    0.001    0.000    0.020    0.000 artist.py:1530(number_of_parameters)
        6    0.000    0.000    0.020    0.003 axis.py:612(__init__)
      200    0.001    0.000    0.019    0.000 pyplot.py:175(_copy_docstring_and_deprecators)
     2904    0.010    0.000    0.019    0.000 <frozen importlib._bootstrap>:124(setdefault)
        1    0.000    0.000    0.019    0.019 config.py:1(<module>)
        1    0.000    0.000    0.019    0.019 lines.py:1(<module>)
      358    0.001    0.000    0.019    0.000 function_base.py:474(_add_docstring)
    77840    0.018    0.000    0.019    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.018    0.018 _rigid_transform.py:1(<module>)
        2    0.000    0.000    0.018    0.009 _backend_tk.py:194(__init__)
        1    0.000    0.000    0.018    0.018 polar.py:1(<module>)
        8    0.000    0.000    0.018    0.002 _array_api.py:857(_asarray_with_order)
      192    0.001    0.000    0.018    0.000 colors.py:325(_to_rgba_no_colorcycle)
     1958    0.010    0.000    0.017    0.000 functools.py:35(update_wrapper)
        1    0.000    0.000    0.017    0.017 generic.py:5853(sample)
      106    0.005    0.000    0.017    0.000 __init__.py:1622(_substitute)
      442    0.003    0.000    0.017    0.000 typing.py:1242(__init__)
        1    0.000    0.000    0.017    0.017 Image.py:1(<module>)
    12686    0.008    0.000    0.017    0.000 enum.py:726(__call__)
        1    0.000    0.000    0.017    0.017 font_manager.py:1(<module>)
        4    0.000    0.000    0.017    0.004 axis.py:1115(set_clip_path)
       94    0.001    0.000    0.017    0.000 __init__.py:1450(_preprocess_data)
        1    0.000    0.000    0.016    0.016 _rigid_transform.py:59(RigidTransform)
        1    0.000    0.000    0.016    0.016 _rotation_groups.py:1(<module>)
       12    0.001    0.000    0.016    0.001 axis.py:59(__init__)
      310    0.001    0.000    0.016    0.000 overrides.py:145(decorator)
      984    0.001    0.000    0.016    0.000 artist.py:1536(is_alias)
       12    0.000    0.000    0.016    0.001 axis.py:761(_set_scale)
        1    0.000    0.000    0.016    0.016 _fitpack2.py:1(<module>)
       12    0.000    0.000    0.015    0.001 scale.py:120(set_default_locators_and_formatters)
      920    0.009    0.000    0.015    0.000 enum.py:254(__set_name__)
        3    0.000    0.000    0.015    0.005 testing.py:1(<module>)
      690    0.001    0.000    0.015    0.000 <frozen codecs>:319(decode)
     2904    0.010    0.000    0.015    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
       32    0.000    0.000    0.015    0.000 ImageTk.py:93(__init__)
  195/175    0.000    0.000    0.014    0.000 typing.py:508(__getitem__)
      690    0.014    0.000    0.014    0.000 {built-in method _codecs.utf_8_decode}
        1    0.000    0.000    0.014    0.014 textpath.py:1(<module>)
     4409    0.007    0.000    0.014    0.000 artist.py:1549(aliased_name)
